,date,twitter_positive,twitter_neutral,twitter_negative,twitter_price,coin_price_bitcoin,coin_price_ethereum,coin_price_dogecoin,gold_price,bitcoin_trend,itb_btc_count,itb_btc_prince,all_time_highers,all_time_lowers,average_balance,seconds,average_transaction_size,new_addresses,active_addresses,zero_balance_addresses,daily_active_address_price,hash_rate,average_size_in_bytes,volume_share_antpool,volume_share_btccom,volume_share_binance,volume_share_huobi_pool,inflows_antpool,inflows_btccom,inflows_binance,inflows_huobi_pool,outflows_antpool,outflows_btccom,outflows_binance,outflows_huobi_pool,reverses_antpool,reverses_btccom,reverses_binance,reverses_huobi_pool,rewards_transaction_fees,rewards_rewards,total_flows_antpool,total_flows_btccom,total_flows_binance,total_flows_huobi_pool,mining_rewards_volume_share,number_of_large_transactions,number_of_transactions,btc_total_fees,道琼斯工业平均指数_close,VIX恐慌指数_close,EEM_close,上证指数_close,美元指数期货_close,WTI原油期货_close,Count,黄金期货_close,XLK_close,Dow_Jones_Commodity_close,cci_close,美国标准普尔500指数_close,Dow_Jones_Commodity_Energy_close
0,2020/9/13,6890.0,17318.0,1368.0,10401.685,10401.20476,374.33895,0.00279,,1764.0,735393,10401.685,132902.0,30536.0,6122.47,534.2283951,106829.77,396678.0,801618.0,477692.0,10401.685,140875696.4,938489.0,0.00015,0.00236,0.000386,0.00413,1500246.56,26978014.52,5598936.101,58622678.78,2580219.669,37384628.53,4861779.302,54369725.36,1635875.832,27775696.32,32274218.67,93053273.68,49.08,1012.5,4080466.229,64362643.06,10460715.4,112992404.1,0.000386,8149.0,255110.0,510529.05,,,43.93,,,,735393,,112.96,,4512.68,,
1,2020/9/14,7791.0,20813.0,1371.0,10506.475,10512.39808,370.72451,0.00278,"1,958.70",1814.0,981539,10506.475,132887.0,30535.0,6181.72,492.5568182,81980.49,530806.0,1033414.0,630677.0,10506.475,151494147.4,1160497.0,3.9e-05,0.003401,0.000337,0.00534,1124599.387,49243075.2,5354136.101,66536370.85,0.0,49227534.22,4473704.838,88711638.45,2773389.16,28183476.98,33485262.46,71831515.32,75.47,1100.0,1124599.387,98470609.42,9827840.938,155248009.3,0.000398,13140.0,354020.0,792945.78,27993.33,25.85,44.64,3278.81,92.912,37.26,981539,1983.9,115.33,623.29,4607.12,3383.54,62.2207
2,2020/9/15,8110.0,23413.0,1801.0,10784.575,10775.46607,371.61226,0.00282,"1,949.40",1902.0,951368,10784.575,132859.0,30534.0,6326.02,549.5320513,92638.25,522680.0,976363.0,540531.0,10784.575,134898442.3,1172355.0,4e-05,0.002171,0.000441,0.008721,1226861.208,35685164.68,7049996.01,180241747.6,0.0,31218481.18,6563535.63,87450940.5,4074569.936,33173311.48,34855735.92,167340858.1,77.13,975.0,1226861.208,66903645.86,13613531.64,267692688.1,0.000341,13801.0,332957.0,831853.92,27995.6,25.59,45.11,3295.68,93.085,38.28,951368,1986.4,116.47,625.48,4502.6,3401.2,63.4083
3,2020/9/16,8139.0,24540.0,1940.0,10882.36,10899.76593,364.55686,0.00282,"1,961.80",1925.0,982159,10882.36,132829.0,30533.0,6376.54,562.3354839,96898.07,539897.0,1075646.0,621634.0,10882.36,135201640.0,1309139.0,0.000129,0.002183,0.000319,0.005299,1020652.41,41451838.59,5521766.958,80937284.75,3224763.72,31019686.68,5094180.524,95045933.62,1867662.434,43857966.24,35598129.05,154559110.1,77.67,968.75,4245416.13,72471525.27,10615947.48,175983218.4,0.000318,13168.0,342609.0,845266.46,28032.38,26.04,45.05,3283.92,93.231,40.16,982159,1990.7,114.67,633.94,4517.95,3385.49,65.5544
4,2020/9/17,8633.0,22107.0,1780.0,10901.62,10896.88494,381.93872,0.0028,"1,936.30",1843.0,988824,10901.62,132793.0,30532.0,6397.96,484.011236,129585.5,543911.0,1118361.0,702434.0,10901.62,153627160.4,1268264.0,2.1e-05,0.00177,0.000182,0.003261,935749.1619,32642878.66,4176764.482,72485069.08,0.0,47180266.78,4014371.274,74598986.42,2809478.224,29342773.19,35824164.74,152753547.4,70.95,1112.5,935749.1619,79823145.44,8191135.755,147084055.5,0.000268,13089.0,348581.0,773476.21,27901.98,26.46,44.87,3270.44,92.969,40.97,988824,1969.3,113.72,638.41,4601.88,3357.01,66.8776
5,2020/9/18,20666.0,21705.0,1679.0,10932.295,10928.10794,384.46827,0.00279,"1,950.90",1771.0,926829,10932.295,132759.0,30532.0,6406.95,520.0424242,127328.48,502181.0,980147.0,564537.0,10932.295,144751986.2,1153905.0,7.4e-05,0.002338,0.000383,0.003932,870844.6885,51734486.56,8476909.556,72853873.45,2184856.334,45006975.03,7416683.922,89993474.11,1501626.981,36064246.48,36975409.54,135977026.7,69.41,1031.25,3055701.023,96741461.59,15893593.48,162847347.6,0.000272,12784.0,325157.0,758815.05,27657.42,25.83,44.52,3338.09,92.952,41.11,926829,1981.9,111.76,642.75,4574.77,3319.47,67.0087
6,2020/9/19,12051.0,18573.0,1279.0,11036.255,11015.55375,383.29779,0.00279,,1680.0,832936,11036.255,132736.0,30531.0,6465.0,584.885906,106540.63,458528.0,910164.0,536350.0,11036.255,129278957.5,1249747.0,2.7e-05,0.001768,0.000246,0.003444,862174.1379,23130861.91,3959810.443,47518961.11,0.0,32459932.88,3809649.683,60915916.64,2381101.901,26914501.74,37474862.57,123653340.0,47.55,931.25,862174.1379,55590794.79,7769460.125,108434877.8,0.000326,9805.0,296357.0,524789.06,,,,,,,832936,,,,4601.47,,
7,2020/9/20,7769.0,18101.0,1699.0,10929.565,10925.96136,376.45999,0.00278,,1901.0,734670,10929.565,132715.0,30531.0,6406.42,600.7816901,99553.7,396950.0,816881.0,495206.0,10929.565,137239137.5,1093970.0,5.5e-05,0.002827,0.000316,0.003067,1418506.954,43551293.78,4289924.517,37664964.31,0.0,29381101.08,3833280.845,41345381.02,3776710.619,40883685.05,37570446.38,119236597.1,33.01,887.5,1418506.954,72932394.86,8123205.363,79010345.33,0.000376,8845.0,259095.0,360783.08,,,,,,,734670,,,,4469.51,,
8,2020/9/21,8904.0,23966.0,2541.0,10655.99,10687.34221,356.79816,0.00271,"1,909.40",1985.0,854859,10655.99,132697.0,30531.0,6240.96,598.1931034,123746.53,463091.0,952266.0,542544.0,10655.99,141668596.6,1206441.0,9.8e-05,0.002646,0.000217,0.003663,935815.4232,55111371.19,4561105.541,65040177.1,2740933.357,42658103.42,3392111.449,70288463.34,1950375.115,52796012.47,37808654.95,111628074.6,61.31,906.25,3676748.781,97769474.61,7953216.991,135328640.4,0.000262,12146.0,297605.0,653299.69,27147.7,27.78,44.11,3316.94,93.684,39.31,854859,1930.0,112.44,626.04,4162.45,3281.06,64.5255
9,2020/9/22,8008.0,20808.0,1895.0,10471.455,10475.27587,342.67071,0.00263,"1,906.00",1925.0,883720,10471.455,132672.0,30531.0,6122.63,675.6821705,93076.28,494907.0,975383.0,541712.0,10471.455,123175507.8,1286297.0,7.9e-05,0.002944,0.000592,0.011967,937321.7954,42925841.71,6889437.155,275347185.8,1357885.987,42767106.86,10353953.91,72840093.54,1492586.142,52506133.82,34242380.84,312919678.9,74.17,806.25,2295207.783,85692948.57,17243391.06,348187279.3,0.00029,12717.0,312989.0,776694.05,27288.18,26.86,43.78,3274.3,94.018,39.6,883720,1927.5,114.22,625.87,4231.6,3315.57,64.4837
